               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  54,               1.876,             0.86667,               1.582,             0.97039,             0.99032,             0.98207,             0.67064,                   0,                   0,                   0,            0.008251,            0.008251,            0.008251
                  55,              1.8819,             0.87522,              1.5925,             0.96663,             0.99167,             0.98422,              0.6688,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  56,              1.8777,             0.86619,              1.5697,             0.97086,             0.99308,             0.98537,              0.6761,                   0,                   0,                   0,            0.008185,            0.008185,            0.008185
                  57,              1.8598,             0.85425,              1.5712,             0.97026,             0.99444,             0.98729,             0.67384,                   0,                   0,                   0,            0.008152,            0.008152,            0.008152
                  58,              1.8671,              0.8601,              1.5798,             0.97354,             0.99716,             0.98861,             0.67041,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  59,              1.8661,             0.85642,              1.5729,             0.96944,              0.9938,             0.98509,             0.66467,                   0,                   0,                   0,            0.008086,            0.008086,            0.008086
                  60,              1.8578,               0.854,               1.583,             0.96952,             0.99616,             0.98496,             0.66676,                   0,                   0,                   0,            0.008053,            0.008053,            0.008053
                  61,              1.8568,             0.84787,              1.5748,             0.97168,             0.99616,             0.98532,             0.66995,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  62,              1.8543,             0.84387,              1.5649,             0.97125,              0.9916,             0.98145,             0.67093,                   0,                   0,                   0,            0.007987,            0.007987,            0.007987
                  63,              1.8536,             0.84937,              1.5701,             0.97459,             0.99416,             0.98471,             0.66921,                   0,                   0,                   0,            0.007954,            0.007954,            0.007954
                  64,              1.8447,             0.84539,              1.5795,             0.97268,             0.99262,             0.98518,             0.67124,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  65,              1.8541,             0.85009,              1.5792,             0.97226,             0.99725,             0.98364,             0.67668,                   0,                   0,                   0,            0.007888,            0.007888,            0.007888
                  66,              1.8515,             0.84564,              1.5611,             0.97391,             0.99317,             0.98549,             0.67742,                   0,                   0,                   0,            0.007855,            0.007855,            0.007855
                  67,              1.8533,             0.85059,              1.5728,             0.96915,             0.99412,             0.98488,              0.6698,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  68,              1.8583,             0.85399,              1.5911,             0.97449,              0.9965,             0.98747,             0.67079,                   0,                   0,                   0,            0.007789,            0.007789,            0.007789
                  69,              1.8386,             0.83755,              1.5538,             0.97177,             0.99632,             0.98532,             0.67375,                   0,                   0,                   0,            0.007756,            0.007756,            0.007756
                  70,               1.851,             0.84648,              1.5702,             0.97185,             0.99476,             0.98772,             0.68699,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  71,              1.8386,             0.83544,              1.5595,             0.97307,             0.99617,             0.98792,              0.6856,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                  72,              1.8339,             0.83652,              1.5695,             0.97241,             0.99671,             0.98749,             0.67389,                   0,                   0,                   0,            0.007657,            0.007657,            0.007657
                  73,              1.8367,             0.83626,              1.5524,             0.97298,             0.99779,             0.98744,             0.67285,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  74,              1.8415,             0.82977,              1.5646,             0.97229,             0.99744,             0.98597,             0.68003,                   0,                   0,                   0,            0.007591,            0.007591,            0.007591
                  75,              1.8431,             0.84041,              1.5739,             0.97542,             0.99769,             0.98785,             0.68311,                   0,                   0,                   0,            0.007558,            0.007558,            0.007558
