                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     37,                 1.0139,                0.59437,                0.70863,                 1.3607,                 0.9497,                0.96476,                0.99087,                0.86351,                0.89839,                0.90959,                 0.9363,                0.83641,                      0,                      0,                      0,                      0,               0.008218,               0.008218,               0.008218
                     38,                 1.0314,                0.58777,                0.74054,                 1.3363,                0.98323,                0.94406,                0.98573,                0.86668,                0.92831,                0.88866,                0.93973,                0.83215,                      0,                      0,                      0,                      0,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.0338,                 0.6373,                0.75407,                  1.366,                0.98129,                0.96058,                0.99221,                0.90545,                0.98129,                0.96058,                0.99221,                0.88616,                      0,                      0,                      0,                      0,               0.008119,               0.008119,               0.008119
                     40,                0.98682,                0.56208,                0.68687,                 1.3122,                0.94435,                0.72024,                0.80272,                0.71616,                0.94435,                0.72024,                0.80272,                 0.7094,                      0,                      0,                      0,                      0,              0.0080695,              0.0080695,              0.0080695
                     41,                0.97249,                0.56678,                0.75431,                 1.3135,                0.89628,                0.97273,                0.98316,                0.87519,                0.96411,                 0.8899,                0.93504,                0.85879,                      0,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                     42,                  1.043,                0.64037,                0.73643,                 1.3676,                0.93033,                0.94545,                0.97669,                0.90069,                0.93033,                0.94545,                0.97603,                 0.8815,                      0,                      0,                      0,                      0,              0.0079705,              0.0079705,              0.0079705
                     43,                0.97089,                0.54741,                0.68032,                  1.324,                0.82932,                 0.9566,                0.96963,                0.88048,                0.82932,                 0.9566,                0.96963,                0.85861,                      0,                      0,                      0,                      0,               0.007921,               0.007921,               0.007921
                     44,                0.98726,                 0.5969,                0.68191,                 1.2957,                0.88108,                0.92228,                0.92769,                0.81648,                 0.8526,                0.84765,                0.87774,                 0.7886,                      0,                      0,                      0,                      0,              0.0078715,              0.0078715,              0.0078715
                     45,                0.97793,                0.59491,                0.77335,                 1.3127,                0.91407,                0.98958,                0.98157,                0.89264,                0.91407,                0.98958,                0.98157,                0.87669,                      0,                      0,                      0,                      0,               0.007822,               0.007822,               0.007822
                     46,                0.98975,                0.59221,                0.69325,                 1.2772,                0.98383,                0.93362,                0.97227,                0.88041,                0.98383,                0.93362,                0.97227,                0.87753,                      0,                      0,                      0,                      0,              0.0077725,              0.0077725,              0.0077725
                     47,                0.99403,                0.58195,                0.67905,                 1.3056,                0.89699,                0.88532,                0.96855,                0.89827,                0.89699,                0.88532,                0.96855,                0.89471,                      0,                      0,                      0,                      0,               0.007723,               0.007723,               0.007723
                     48,                0.98607,                0.55021,                0.66491,                 1.2908,                0.85782,                0.97273,                0.95856,                0.87139,                0.85782,                0.97273,                0.95856,                0.89597,                      0,                      0,                      0,                      0,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.0053,                0.57837,                0.70331,                 1.3148,                0.83838,                0.98182,                0.96268,                0.88812,                0.83838,                0.98182,                0.96268,                0.90805,                      0,                      0,                      0,                      0,               0.007624,               0.007624,               0.007624
                     50,                0.99453,                0.56497,                0.67798,                 1.3211,                 0.8626,                0.97797,                 0.9649,                0.87818,                 0.8626,                0.97797,                 0.9649,                0.88629,                      0,                      0,                      0,                      0,              0.0075745,              0.0075745,              0.0075745
                     51,                0.91118,                0.56012,                    inf,                 1.2429,                0.90167,                0.92626,                0.96668,                0.88087,                0.90167,                0.92626,                0.96668,                0.89018,                      0,                      0,                      0,                      0,               0.007525,               0.007525,               0.007525
                     52,                0.93453,                0.56119,                0.63006,                 1.2953,                0.84711,                0.96531,                0.96085,                0.85208,                0.84711,                0.96531,                0.96085,                0.85174,                      0,                      0,                      0,                      0,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.0063,                0.58028,                0.68508,                 1.3307,                0.89219,                0.98182,                0.96109,                0.88571,                0.89219,                0.98182,                0.96109,                0.86103,                      0,                      0,                      0,                      0,               0.007426,               0.007426,               0.007426
                     54,                0.97222,                0.57881,                0.66448,                  1.315,                0.88605,                 0.9731,                0.96773,                0.88206,                0.89404,                0.98182,                0.96793,                0.88459,                      0,                      0,                      0,                      0,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.0916,                 0.6228,                0.82629,                 1.3638,                0.89334,                0.98182,                0.97806,                0.90492,                0.89334,                0.98182,                0.97806,                0.88004,                      0,                      0,                      0,                      0,               0.007327,               0.007327,               0.007327
                     56,                0.91916,                0.53614,                0.60583,                 1.2535,                0.87772,                0.97017,                0.95684,                0.85227,                0.87772,                0.97017,                0.95684,                0.86476,                      0,                      0,                      0,                      0,              0.0072775,              0.0072775,              0.0072775
                     57,                0.92673,                0.53353,                0.59878,                 1.2632,                0.97383,                0.98046,                0.99005,                0.91681,                0.97383,                0.98046,                0.99005,                0.90683,                      0,                      0,                      0,                      0,               0.007228,               0.007228,               0.007228
                     58,                0.95782,                0.58876,                0.63954,                 1.2676,                0.96891,                0.99091,                0.99037,                0.90639,                0.96891,                0.99091,                0.99037,                0.90456,                      0,                      0,                      0,                      0,              0.0071785,              0.0071785,              0.0071785
                     59,                0.95286,                0.57944,                0.65774,                 1.3054,                 0.9738,                0.95656,                0.99067,                0.92115,                 0.9738,                0.95656,                0.99067,                0.89749,                      0,                      0,                      0,                      0,               0.007129,               0.007129,               0.007129
                     60,                0.99393,                0.58608,                0.66351,                  1.331,                 0.8418,                0.93636,                 0.9549,                0.87113,                 0.8418,                0.93636,                0.94911,                0.86493,                      0,                      0,                      0,                      0,              0.0070795,              0.0070795,              0.0070795
                     61,                0.91666,                0.54432,                0.58921,                 1.2617,                0.84614,                0.97273,                0.94385,                0.87191,                0.84614,                0.97273,                0.94385,                0.87487,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     62,                 0.9398,                0.54761,                0.62812,                 1.2869,                  0.892,                0.98182,                0.96536,                0.87408,                  0.892,                0.98182,                0.96536,                0.86799,                      0,                      0,                      0,                      0,              0.0069805,              0.0069805,              0.0069805
                     63,                0.91135,                0.53906,                0.58487,                 1.2562,                0.88402,                0.93636,                0.95523,                0.89823,                0.88402,                0.93636,                0.95523,                0.87885,                      0,                      0,                      0,                      0,               0.006931,               0.006931,               0.006931
                     64,                0.89167,                 0.5746,                0.63634,                   1.26,                0.78084,                0.89726,                0.84742,                0.75727,                0.78084,                0.89726,                0.84742,                0.74018,                      0,                      0,                      0,                      0,              0.0068815,              0.0068815,              0.0068815
                     65,                 0.9298,                0.55463,                0.63809,                 1.3083,                0.82743,                    0.9,                0.91622,                0.84994,                0.81647,                0.89091,                0.90231,                0.79612,                      0,                      0,                      0,                      0,               0.006832,               0.006832,               0.006832
                     66,                0.94722,                 0.5617,                0.62472,                 1.2771,                0.87639,                0.92024,                0.93875,                 0.8494,                0.87639,                0.92024,                0.93875,                 0.8397,                      0,                      0,                      0,                      0,              0.0067825,              0.0067825,              0.0067825
